lat,long,yds_clean_coarse,ver_clean_coarse,fa,route_name,nopm_YDS,nopm_Vermin,has_f,has_fB,has_fanat,has_fall,has_fBall,has_fallsex,has_m,has_manat,has_mall,has_mallsex,has_sex,has_fmallsex,has_eth,has_lgbt,has_drugs,has_money,has_violence,has_penis,has_bitch,has_pussy,has_whore,has_virgin,has_arete,has_slab,has_overhang,has_dihedral,has_roof,has_jug,has_crimp,has_flake,has_any,rating
 43.40501,-89.72901,,8.0,Eric Z.,Pussy Whipped,,V8,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.42674,-89.73576,,6.0,Ian CB or Old School,Smackdown Sit aka Bitch Slap,,V6,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.42674,-89.73576,,6.0,Not Ian,Bitch Better Have My Money,,V6,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 43.42167,-89.72417,,2.0,Ryan Hys,Roofie,,V2,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.9706,-105.28729,12.0,,"Jimmy Surette and Greg McCausland, 1988",Tits Out For The Lads,5.12b,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.98659,-105.29198,,4.0,JD and/or Paul Glover,Skin Poppin' Slut,,V4,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Advanced
 38.632130000000004,-105.22238,12.0,,"Richard Aschert and Dave Dangle, 1991",Tits Up,5.12b,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 38.6524,-105.2244,10.0,,Mark Van Horn,Skank to Crank,5.10d,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 38.6187,-105.2377,8.0,,"Charlie Kardaleff, summer 2000.",Coffee Bitch,5.7/8,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.97207,-105.46336,11.0,,"Rick Leitner, 1999",Leave it to Beaver,5.11c/d,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.97207,-105.46336,12.0,,??,Beaver Overload,5.12d,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 39.97207,-105.46336,11.0,,"Chris Alber, 1999",Beaver Fever,5.11d,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 40.0139,-105.3079,10.0,,"Alec Sharp, Dan Hare, Christian Griffith, Joel Schiavone, 1981.",Pussy Cat,5.10b/c,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 37.85639,-107.86738,10.0,,Charlie Fowler and Doug Berry,Easy Skankin',5.10c/d,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.20667,-105.31877,9.0,,"Annabelle McClure, Greg Miller",That Bitch Carole Baskin,5.9,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.25653,-105.10211,10.0,,magill,Steaming Beaver,5.10d,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.25848,-105.10665,10.0,,Mike Carrington,Jungle Beaver,5.10c/d,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 39.7137,-107.6922,11.0,,unknown,Pussy In The Sky With Almonds,5.11c/d,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
